Date,Speaker,timetype,time,contents,emotions,token
2020-08-05,이상해씨,AM,06:07:29,반갑습니다,놀람,"['반갑', '습니다']"
2020-08-05,꼬부기,AM,06:06:17,안녕하세요,기쁨,"['안녕', '하', '세요']"
2020-08-05,꼬부기,AM,08:09:09,벌써다섯시네요,Detecting,"['벌써', '다섯', '시', '이', '네요']"
2020-08-05,꼬부기,AM,06:06:48,잘부탁드립니다,집중,"['잘', '부탁드리', 'ㅂ니다']"
2020-08-05,꼬부기,AM,06:06:17,안녕하세요,기쁨,"['안녕', '하', '세요']"
2020-08-05,꼬부기,AM,08:21:22,저프로필아직그대로인가요?,Detecting,"['저', '프로', '필', '아직', '그대로', '인', '가요', '?']"
2020-08-05,꼬부기,AM,06:06:34,신입입니다,집중,"['신입', '이', 'ㅂ니다']"
2020-08-05,이상해씨,AM,06:07:53,좋은하루되세요,기쁨,"['좋', '은', '하루', '되', '세요']"
2020-10-27,익명,AM,09:54:37,네...,Detecting,"['네', '...']"
2020-08-05,이상해씨,AM,08:14:45,ㄴㅔ안녕하세요,집중,"['안녕', '하', '세요']"
